density,pop,county,state
269.88239734,190488,Broome,New York
58.181057809,76117,Cattaraugus,New York
881.05768715,918702,Erie,New York
108.33200053,70941,Madison,New York
759.10726707,155299,Schenectady,New York
77.914576302,75432,Sullivan,New York
116.20104734,57280,Genesee,New York
73.674655804,24913,Yates,New York
473.88006089,384940,Orange,New York
78.988600799,21069,Greene,North Carolina
112.57496366,62317,Haywood,North Carolina
5.8706283557,23464,Teton,Wyoming
4.0609072002,42343,Sweetwater,Wyoming
4.0322880951,8393,Platte,Wyoming
12.08110855,30485,Sheridan,Wyoming
3.7584190299,11790,Big Horn,Wyoming
2.6568762127,7584,Crook,Wyoming
4.2072108313,29194,Park,Wyoming
9.0961689364,38880,Albany,Wyoming
1.8739388557,14800,Carbon,Wyoming
5.9358922451,13211,Goshen,Wyoming
9.7160005674,20226,Uinta,Wyoming
3.4864388683,7805,Washakie,Wyoming
2.2016243943,4413,Hot Springs,Wyoming
4.2751253555,39261,Fremont,Wyoming
2.0118769607,9831,Sublette,Wyoming
2.8886512178,6927,Weston,Wyoming
null,22108,Aibonito,Puerto Rico
null,17623,Guayanilla,Puerto Rico
null,38155,Juncos,Puerto Rico
null,22010,Lajas,Puerto Rico
null,21712,Sabana Grande,Puerto Rico
null,17363,Adjuntas,Puerto Rico
null,30504,Camuy,Puerto Rico
null,15518,Hormigueros,Puerto Rico
null,25761,Naguabo,Puerto Rico
null,27349,Naranjito,Puerto Rico
null,27395,Utuado,Puerto Rico
null,81966,Arecibo,Puerto Rico
null,17238,Arroyo,Puerto Rico
null,11317,Florida,Puerto Rico
null,22918,Quebradillas,Puerto Rico
null,39465,Guayama,Puerto Rico
null,34891,Moca,Puerto Rico
null,1714,Culebra,Puerto Rico
null,47093,Gurabo,Puerto Rico
null,27128,Salinas,Puerto Rico
null,23727,Barceloneta,Puerto Rico
null,33575,Yauco,Puerto Rico
null,83728,Guaynabo,Puerto Rico
null,50265,Aguadilla,Puerto Rico
null,47515,Cabo Rojo,Puerto Rico
null,29454,Fajardo,Puerto Rico
null,16211,Patillas,Puerto Rico
null,21372,Villalba,Puerto Rico
null,24814,Aguas Buenas,Puerto Rico
null,146984,Carolina,Puerto Rico
null,42409,Cayey,Puerto Rico
null,39218,Hatillo,Puerto Rico
null,50653,Humacao,Puerto Rico
null,30335,Morovis,Puerto Rico
null,21209,Santa Isabel,Puerto Rico
null,63674,Trujillo Alto,Puerto Rico
null,37287,Manatí,Puerto Rico
null,71530,Mayagüez,Puerto Rico
null,19249,Peñuelas,Puerto Rico
null,13656,Rincón,Puerto Rico
null,48025,Río Grande,Puerto Rico
null,30227,San Germán,Puerto Rico
null,35528,San Sebastián,Puerto Rico
null,26161,Añasco,Puerto Rico
null,169269,Bayamón,Puerto Rico
null,44674,Canóvanas,Puerto Rico
null,23121,Cataño,Puerto Rico
null,18648,Comerío,Puerto Rico
null,15383,Guánica,Puerto Rico
null,44679,Juana Díaz,Puerto Rico
67.633735428,14964,Mitchell,North Carolina
80.755419153,13943,Chowan,North Carolina
47.509157206,11137,Alleghany,North Carolina
174.14608166,82178,Caldwell,North Carolina
397.51319692,159551,Catawba,North Carolina
210.99489475,97947,Cleveland,North Carolina
144.5555646,102139,Craven,North Carolina
101.83748118,51472,Edgecombe,North Carolina
113.6165962,60443,Granville,North Carolina
228.52258588,135976,Harnett,North Carolina
141.58061619,55234,Hoke,North Carolina
314.8389384,117417,Henderson,North Carolina
8.0624447293,4937,Hyde,North Carolina
316.57176203,181806,Iredell,North Carolina
2120.6952358,1110356,Mecklenburg,North Carolina
36.302998216,19483,Northampton,North Carolina
277.05461555,180742,Pitt,North Carolina
277.79772419,142088,Rowan,North Carolina
176.44596321,44535,Vance,North Carolina
62.808841651,28612,Cherokee,North Carolina
106.0010731,27763,Currituck,North Carolina
379.08988838,239859,Union,North Carolina
90.667151638,68412,Wilkes,North Carolina
937.43532337,382295,Forsyth,North Carolina
174.4825438,94298,Nash,North Carolina
144.22752207,37497,Alexander,North Carolina
37.402377212,32722,Bladen,North Carolina
96.571562372,37009,Dare,North Carolina
136.8649266,69473,Carteret,North Carolina
45.9511292,19731,Warren,North Carolina
222.55826689,81801,Wilson,North Carolina
27.0990253,18947,Bertie,North Carolina
33.944753913,11562,Gates,North Carolina
28.910878119,8441,Graham,North Carolina
49.164708645,22440,Martin,North Carolina
48.385830401,21755,Madison,North Carolina
37.818061616,12726,Pamlico,North Carolina
54.468411395,13463,Perquimans,North Carolina
87.190319676,20724,Polk,North Carolina
183.6394736,143667,Randolph,North Carolina
